"event_name","event_type","event_store_days","event_dates","avg_lift","median_lift","avg_pct_lift","min_lift","max_lift"
"Christmas","National",50,5,-3382.2,-3199.5,-0.99952553004857,-7335,-2019
"OrthodoxEaster + Easter","Religious + Cultural",10,1,-1843,-1538.5,-0.441162559288885,-2898,-812
"Thanksgiving","National",50,5,-943.5,-934.25,-0.307771360826999,-2572,187.5
"NewYear","National",50,5,-806.92,-616.75,-0.22070711271598,-3358,815
"Mother's day","Cultural",60,6,-633.7,-560,-0.146727553539286,-3119,1955
"Father's day","Cultural",40,4,-588.6,-545,-0.137020887704167,-2680,790
"Halloween","Cultural",50,5,-422.86,-387.5,-0.125569375578868,-2114,1741
"Easter + OrthodoxEaster","Cultural + Religious",10,1,-351.4,-223,-0.0949707485580699,-1364,591
"Easter","Cultural",40,4,-278.45,-138,-0.0570690582371377,-3984,2650
"NBAFinalsEnd","Sporting",40,4,-224.55,-79.25,-0.0442860891650861,-2123,833
"ValentinesDay","Cultural",60,6,-217.683333333334,-235,-0.0661191747985634,-2694,2361
"SuperBowl","Sporting",60,6,-152.4,-83.5,-0.0322953849245486,-1868,1511
"StPatricksDay","Cultural",60,6,-149.7,-95,-0.0401157160727503,-2366,970.5
"LentWeek2","Religious",60,6,-83.7000000000001,-98,-0.0244928362008894,-1662,2007
"IndependenceDay","National",50,5,-57.7199999999999,-142,-0.0157282733271078,-2151,1946
"Purim End","Religious",60,6,-54.95,95.5,-0.00566090480356898,-2291,1419
"MemorialDay","National",50,5,-37.6399999999999,53,-0.008963290507602,-2062,1325
"Pesach End","Religious",60,6,-26.3,97.5,-0.0163307123026772,-2331,2486
"OrthodoxChristmas","Religious",50,5,-11.8,20.5,0.00487188005270698,-2008,1193.5
"Eid al-Fitr","Religious",50,5,-6.89999999999994,70,-0.0141492364872513,-1742,1481
"Chanukah End","Religious",50,5,-2.45999999999997,62.5,0.012701109807755,-1979,1328
"NBAFinalsEnd + Father's day","Sporting + Cultural",10,1,4.60000000000003,-61,0.00388246206888513,-670,873
"LentStart","Religious",60,6,14.2999999999999,-18.75,0.00517642376322329,-1832,1868
"EidAlAdha","Religious",50,5,18.66,-37.25,0.0033169291743769,-1943,1596
"MartinLutherKingDay","National",50,5,30.2599999999999,-9,0.015185466673192,-1490,2118
"Ramadan starts","Religious",50,5,44.36,119.75,0.0206304173112729,-1596,1676
"OrthodoxEaster + Cinco De Mayo","Religious + Cultural",10,1,75.5,58.5,0.0216325371296445,-431,1167
"VeteransDay","National",50,5,77.9,96,0.025867386903588,-2069,1056
"Cinco De Mayo","Cultural",50,5,95.3,245,0.0406062963537653,-1963,2691
"NBAFinalsStart","Sporting",50,5,124.3,338.25,0.0393211160949995,-1907,1331
"PresidentsDay","National",60,6,137.033333333333,135.5,0.0381264195610701,-1949,3478
"ColumbusDay","National",50,5,208.88,216,0.0588736448966012,-1789,2071
"OrthodoxEaster","Religious",30,3,385.833333333333,531.5,0.102468441125434,-2049,2547
"LaborDay","National",50,5,907.86,1038,0.275494895232329,-1539,2563
