"date","total_quantity","direction","deviation","robust_z","rolling_median_31d","weekday","month","year","event_name_1","event_type_1","event_name_2","event_type_2","snap_CA","snap_TX","snap_WI","anomaly_scope","top_contributing_stores","stores_above_local_baseline","stores_below_local_baseline","event_years_in_data","event_observations","event_median_quantity","same_calendar_date_years","same_calendar_date_median_quantity","explanation_status"
2015-12-25,14,"low",-36213,-10.4571181056887,36227,"Friday",12,2015,"Christmas","National",NA,NA,0,0,0,"across most stores","CA_3, WI_2, CA_1",0,10,"2011, 2012, 2013, 2014, 2015",5,14,"2011, 2012, 2013, 2014, 2015",14,"recurring calendar event to compare"
2013-12-25,20,"low",-32707,-9.44470112619116,32727,"Wednesday",12,2013,"Christmas","National",NA,NA,0,0,0,"across most stores","CA_3, CA_1, TX_2",0,10,"2011, 2012, 2013, 2014, 2015",5,14,"2011, 2012, 2013, 2014, 2015",14,"recurring calendar event to compare"
2014-12-25,20,"low",-32662,-9.4317066127635,32682,"Thursday",12,2014,"Christmas","National",NA,NA,0,0,0,"across most stores","CA_3, CA_1, WI_2",0,10,"2011, 2012, 2013, 2014, 2015",5,14,"2011, 2012, 2013, 2014, 2015",14,"recurring calendar event to compare"
2012-12-25,11,"low",-32336,-9.3375685821542,32347,"Tuesday",12,2012,"Christmas","National",NA,NA,0,0,0,"across most stores","CA_3, TX_2, WI_2",0,10,"2011, 2012, 2013, 2014, 2015",5,14,"2011, 2012, 2013, 2014, 2015",14,"recurring calendar event to compare"
2011-12-25,13,"low",-28738,-8.29858504187121,28751,"Sunday",12,2011,"Christmas","National",NA,NA,0,0,0,"across most stores","CA_3, WI_3, TX_2",0,10,"2011, 2012, 2013, 2014, 2015",5,14,"2011, 2012, 2013, 2014, 2015",14,"recurring calendar event to compare"
2016-03-06,57218,"high",17566,5.07248050822986,39652,"Sunday",3,2016,NA,NA,NA,NA,1,1,1,"across most stores","CA_2, CA_1, CA_3",10,0,NA,NA,NA,"2011, 2012, 2013, 2014, 2015, 2016",33769,"unexplained by available calendar event fields"
2016-01-09,52880,"high",16573,4.78573491192608,36307,"Saturday",1,2016,NA,NA,NA,NA,1,1,1,"across most stores","CA_3, CA_2, WI_2",10,0,NA,NA,NA,"2012, 2013, 2014, 2015, 2016",33197,"unexplained by available calendar event fields"
2016-05-15,59921,"high",16116,4.65376840889402,43805,"Sunday",5,2016,NA,NA,NA,NA,0,1,1,"across most stores","CA_2, WI_2, CA_1",10,0,NA,NA,NA,"2011, 2012, 2013, 2014, 2015, 2016",34066.5,"unexplained by available calendar event fields"
2015-07-03,54154,"high",16059,4.63730869188565,38095,"Friday",7,2015,NA,NA,NA,NA,1,1,1,"across most stores","CA_3, WI_2, WI_3",10,0,NA,NA,NA,"2011, 2012, 2013, 2014, 2015",43999,"unexplained by available calendar event fields"
2016-04-03,56425,"high",16007,4.62229280970257,40418,"Sunday",4,2016,NA,NA,NA,NA,1,1,1,"across most stores","CA_2, CA_3, CA_1",10,0,NA,NA,NA,"2011, 2012, 2013, 2014, 2015, 2016",36099,"unexplained by available calendar event fields"
2015-10-03,54687,"high",15998,4.61969390701704,38689,"Saturday",10,2015,NA,NA,NA,NA,1,1,1,"across most stores","CA_2, CA_3, WI_2",10,0,NA,NA,NA,"2011, 2012, 2013, 2014, 2015",37215,"unexplained by available calendar event fields"
2016-04-09,56340,"high",15823,4.56915968813168,40517,"Saturday",4,2016,NA,NA,NA,NA,1,1,1,"across most stores","WI_1, WI_2, CA_2",10,0,NA,NA,NA,"2011, 2012, 2013, 2014, 2015, 2016",34093.5,"unexplained by available calendar event fields"
2014-03-09,50090,"high",15523,4.48252959861392,34567,"Sunday",3,2014,NA,NA,NA,NA,1,1,1,"across most stores","CA_3, CA_1, TX_2",10,0,NA,NA,NA,"2011, 2012, 2013, 2014, 2015, 2016",36526,"unexplained by available calendar event fields"
2013-02-02,51032,"high",15486,4.47184522090673,35546,"Saturday",2,2013,NA,NA,NA,NA,1,0,1,"across most stores","CA_1, CA_3, WI_1",10,0,NA,NA,NA,"2011, 2012, 2013, 2014, 2015, 2016",34967,"unexplained by available calendar event fields"
2013-03-02,49772,"high",15134,4.37019924920589,34638,"Saturday",3,2013,NA,NA,NA,NA,1,0,1,"across most stores","CA_3, WI_1, WI_3",10,0,NA,NA,NA,"2011, 2012, 2013, 2014, 2015, 2016",36928,"unexplained by available calendar event fields"
2016-02-06,55040,"high",14847,4.2873231302339,40193,"Saturday",2,2016,NA,NA,NA,NA,1,1,1,"across most stores","CA_1, CA_2, WI_2",10,0,NA,NA,NA,"2011, 2012, 2013, 2014, 2015, 2016",32562.5,"unexplained by available calendar event fields"
2014-01-11,47798,"high",14703,4.24574068726538,33095,"Saturday",1,2014,NA,NA,NA,NA,0,1,1,"across most stores","WI_2, CA_3, WI_3",10,0,NA,NA,NA,"2012, 2013, 2014, 2015, 2016",37986,"unexplained by available calendar event fields"
2014-11-09,47415,"high",14552,4.20213687554144,32863,"Sunday",11,2014,NA,NA,NA,NA,1,1,1,"across most stores","CA_3, CA_1, WI_2",10,0,NA,NA,NA,"2011, 2012, 2013, 2014, 2015",36915,"unexplained by available calendar event fields"
2013-11-03,48373,"high",14496,4.18596592549812,33877,"Sunday",11,2013,NA,NA,NA,NA,1,1,1,"across most stores","CA_3, CA_1, WI_2",10,0,NA,NA,NA,"2011, 2012, 2013, 2014, 2015",38564,"unexplained by available calendar event fields"
2016-01-16,51146,"high",14453,4.17354894600058,36693,"Saturday",1,2016,NA,NA,NA,NA,0,0,0,"across most stores","WI_1, CA_2, WI_3",10,0,NA,NA,NA,"2012, 2013, 2014, 2015, 2016",31190,"unexplained by available calendar event fields"
