"date","total_quantity","weekday","event_name_1","event_type_1","event_name_2","event_type_2","snap_CA","snap_TX","snap_WI"
2016-02-28,50915,"Sunday",NA,NA,NA,NA,0,0,0
2016-02-29,37259,"Monday",NA,NA,NA,NA,0,0,0
2016-03-01,36536,"Tuesday",NA,NA,NA,NA,1,1,0
2016-03-02,38458,"Wednesday",NA,NA,NA,NA,1,0,1
2016-03-03,41459,"Thursday",NA,NA,NA,NA,1,1,1
2016-03-04,39325,"Friday",NA,NA,NA,NA,1,0,0
2016-03-05,52322,"Saturday",NA,NA,NA,NA,1,1,1
2016-03-06,57218,"Sunday",NA,NA,NA,NA,1,1,1
2016-03-07,40562,"Monday",NA,NA,NA,NA,1,1,0
2016-03-08,37727,"Tuesday",NA,NA,NA,NA,1,0,1
2016-03-09,37032,"Wednesday",NA,NA,NA,NA,1,1,1
2016-03-10,38267,"Thursday",NA,NA,NA,NA,1,0,0
2016-03-11,40887,"Friday",NA,NA,NA,NA,0,1,1
2016-03-12,52711,"Saturday",NA,NA,NA,NA,0,1,1
2016-03-13,51421,"Sunday",NA,NA,NA,NA,0,1,0
