"store_id","state_id","date","quantity_on_spike_date","weekday","event_name_1","event_type_1","event_name_2","event_type_2","snap_CA","snap_TX","snap_WI","day_id","day_number","normal_store_quantity","difference","percentage_difference","share_of_overall_spike"
"CA_2","CA",2016-03-06,6384,"Sunday",NA,NA,NA,NA,1,1,1,"d_1864",1864,3566.5,2817.5,0.789990186457311,0.163181976138075
"CA_1","CA",2016-03-06,6829,"Sunday",NA,NA,NA,NA,1,1,1,"d_1864",1864,4068,2761,0.678711897738446,0.159909649021198
"CA_3","CA",2016-03-06,8773,"Sunday",NA,NA,NA,NA,1,1,1,"d_1864",1864,6248,2525,0.404129321382843,0.146241167612649
"WI_1","WI",2016-03-06,5451,"Sunday",NA,NA,NA,NA,1,1,1,"d_1864",1864,3473.5,1977.5,0.569310493738304,0.114531449090698
"WI_2","WI",2016-03-06,6957,"Sunday",NA,NA,NA,NA,1,1,1,"d_1864",1864,5179,1778,0.343309519212203,0.102976948916947
"WI_3","WI",2016-03-06,5431,"Sunday",NA,NA,NA,NA,1,1,1,"d_1864",1864,3969,1462,0.36835474930713,0.0846750839800764
"TX_2","TX",2016-03-06,5374,"Sunday",NA,NA,NA,NA,1,1,1,"d_1864",1864,4030,1344,0.333498759305211,0.0778408432758022
"TX_1","TX",2016-03-06,4328,"Sunday",NA,NA,NA,NA,1,1,1,"d_1864",1864,3080.5,1247.5,0.404966726180815,0.0722518243947643
"CA_4","CA",2016-03-06,3238,"Sunday",NA,NA,NA,NA,1,1,1,"d_1864",1864,2533.5,704.5,0.278073810933491,0.0408027336962817
"TX_3","TX",2016-03-06,4453,"Sunday",NA,NA,NA,NA,1,1,1,"d_1864",1864,3804,649,0.170609884332282,0.0375883238735086
