"store_id","state_id","item_id","dept_id","cat_id","quantity_on_spike_date","normal_product_quantity","difference","percentage_difference","share_of_store_spike"
"CA_3","CA","FOODS_3_362","FOODS_3","FOODS",93,32,61,1.90625,0.0171855190871954
"CA_1","CA","HOBBIES_1_048","HOBBIES_1","HOBBIES",62,11,51,4.63636363636364,0.0141411340634965
"CA_3","CA","FOODS_3_382","FOODS_3","FOODS",60,12,48,4,0.0135230314128751
"CA_3","CA","FOODS_3_603","FOODS_3","FOODS",49,6.5,42.5,6.53846153846154,0.0119735173968165
"CA_1","CA","FOODS_3_252","FOODS_3","FOODS",69,27.5,41.5,1.50909090909091,0.0115070012477471
"CA_3","CA","FOODS_3_106","FOODS_3","FOODS",44,9,35,3.88888888888889,0.00986054373855473
"CA_1","CA","FOODS_3_501","FOODS_3","FOODS",58,23.5,34.5,1.46808510638298,0.00956606127824761
"CA_3","CA","FOODS_3_739","FOODS_3","FOODS",59,24.5,34.5,1.40816326530612,0.00971967882800394
"CA_1","CA","HOBBIES_1_404","HOBBIES_1","HOBBIES",38,4,34,8.5,0.00942742270899764
"CA_3","CA","FOODS_3_233","FOODS_3","FOODS",55,21.5,33.5,1.55813953488372,0.00943794900690238
"CA_1","CA","FOODS_3_295","FOODS_3","FOODS",56,25,31,1.24,0.00859559129349785
"CA_2","CA","HOBBIES_1_370","HOBBIES_1","HOBBIES",35,4,31,7.75,0.00883442576232545
"CA_3","CA","FOODS_3_808","FOODS_3","FOODS",57,27,30,1.11111111111111,0.00845189463304691
"CA_3","CA","HOUSEHOLD_1_328","HOUSEHOLD_1","HOUSEHOLD",42,12.5,29.5,2.36,0.00831102972249613
"CA_1","CA","HOBBIES_1_278","HOBBIES_1","HOBBIES",30,1,29,29,0.00804103701649799
"CA_2","CA","FOODS_3_288","FOODS_3","FOODS",56,27,29,1.07407407407407,0.00826446280991736
"CA_3","CA","FOODS_3_288","FOODS_3","FOODS",60,31.5,28.5,0.904761904761905,0.00802929990139456
"CA_2","CA","FOODS_1_215","FOODS_1","FOODS",31,3,28,9.33333333333333,0.00797948133371331
"CA_1","CA","FOODS_3_329","FOODS_3","FOODS",40,12.5,27.5,2.2,0.00762512130874809
"CA_2","CA","FOODS_3_362","FOODS_3","FOODS",37,9.5,27.5,2.89473684210526,0.00783699059561128
"CA_1","CA","HOBBIES_1_387","HOBBIES_1","HOBBIES",30,3.5,26.5,7.57142857142857,0.00734784417024816
"CA_1","CA","FOODS_3_282","FOODS_3","FOODS",42,15.5,26.5,1.70967741935484,0.00734784417024816
"CA_2","CA","FOODS_3_319","FOODS_3","FOODS",46,20,26,1.3,0.00740951838130522
"CA_3","CA","FOODS_3_587","FOODS_3","FOODS",60,34,26,0.764705882352941,0.00732497534864065
"CA_1","CA","FOODS_2_276","FOODS_2","FOODS",35,10.5,24.5,2.33333333333333,0.0067932898932483
"CA_1","CA","FOODS_3_587","FOODS_3","FOODS",50,25.5,24.5,0.96078431372549,0.0067932898932483
"CA_2","CA","HOBBIES_1_398","HOBBIES_1","HOBBIES",27,2.5,24.5,9.8,0.00698204616699914
"CA_2","CA","FOODS_3_681","FOODS_3","FOODS",34,10,24,2.4,0.00683955542889712
"CA_2","CA","FOODS_3_739","FOODS_3","FOODS",42,18,24,1.33333333333333,0.00683955542889712
"CA_3","CA","FOODS_3_499","FOODS_3","FOODS",42,18,24,1.33333333333333,0.00676151570643753
"CA_1","CA","HOBBIES_1_090","HOBBIES_1","HOBBIES",25,2.5,22.5,9,0.00623873561624844
"CA_2","CA","FOODS_3_090","FOODS_3","FOODS",60,37.5,22.5,0.6,0.00641208321459105
"CA_3","CA","FOODS_3_586","FOODS_3","FOODS",80,57.5,22.5,0.391304347826087,0.00633892097478518
"CA_2","CA","FOODS_2_128","FOODS_2","FOODS",24,2,22,11,0.00626959247648903
"CA_2","CA","FOODS_3_252","FOODS_3","FOODS",50,28.5,21.5,0.754385964912281,0.006127101738387
"CA_3","CA","HOBBIES_1_067","HOBBIES_1","HOBBIES",24,2.5,21.5,8.6,0.00605719115368362
"CA_3","CA","FOODS_3_282","FOODS_3","FOODS",80,58.5,21.5,0.367521367521368,0.00605719115368362
"CA_1","CA","HOBBIES_1_353","HOBBIES_1","HOBBIES",24,3,21,7,0.00582281990849854
"CA_1","CA","FOODS_3_080","FOODS_3","FOODS",34,13.5,20.5,1.51851851851852,0.00568418133924858
"CA_3","CA","FOODS_1_184","FOODS_1","FOODS",25,4.5,20.5,4.55555555555556,0.00577546133258205
"CA_1","CA","FOODS_2_360","FOODS_2","FOODS",24,4,20,5,0.00554554276999861
"CA_1","CA","FOODS_2_019","FOODS_2","FOODS",35,15.5,19.5,1.25806451612903,0.00540690420074865
"CA_1","CA","FOODS_3_586","FOODS_3","FOODS",54,34.5,19.5,0.565217391304348,0.00540690420074865
"CA_2","CA","FOODS_3_233","FOODS_3","FOODS",24,4.5,19.5,4.33333333333333,0.00555713878597891
"CA_3","CA","HOBBIES_1_417","HOBBIES_1","HOBBIES",20,1,19,19,0.00535286660092971
"CA_3","CA","FOODS_3_573","FOODS_3","FOODS",32,13,19,1.46153846153846,0.00535286660092971
"CA_3","CA","HOUSEHOLD_1_277","HOUSEHOLD_1","HOUSEHOLD",24,5.5,18.5,3.36363636363636,0.00521200169037893
"CA_1","CA","HOUSEHOLD_1_032","HOUSEHOLD_1","HOUSEHOLD",28,10,18,1.8,0.00499098849299875
"CA_1","CA","FOODS_3_555","FOODS_3","FOODS",33,15,18,1.2,0.00499098849299875
"CA_2","CA","HOBBIES_1_032","HOBBIES_1","HOBBIES",24,6,18,3,0.00512966657167284
